2026-08-08 14:54:01 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:01 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:02 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:02 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:02 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:03 | INFO     | src.predict | Predicted cluster=2 (Low income, high spending)
2026-08-08 14:54:12 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:12 | INFO     | src.predict | Predicted cluster=2 (Low income, high spending)
2026-08-08 14:54:12 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:13 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:13 | INFO     | src.predict | Predicted cluster=2 (Low income, high spending)
2026-08-08 14:54:19 | INFO     | src.preprocessing | Selected clustering features ['Annual_Income', 'Spending_Score'] -> shape (200, 2)
2026-08-08 14:54:19 | INFO     | src.predict | Predicted cluster=2 (Low income, high spending)
